#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
52500,104.99999999993669,-2677030.6008806303,300.89893787436466,0
55000,109.99999999992504,-2679177.5956212096,299.42302113731404,153
57500,114.99999999991338,-2680356.573318595,299.54779188687064,155
60000,119.99999999990173,-2676811.283560112,300.57119475705434,153
62500,124.99999999989008,-2676946.171484597,301.1137629433743,151
65000,129.99999999989262,-2676829.914605735,300.0790243370229,150
67500,134.9999999999165,-2678878.7720627747,299.3285658678537,150
70000,139.99999999994037,-2679301.2724117655,301.1964523279286,150
72500,144.99999999996425,-2678233.275584735,301.086535007664,151
75000,149.99999999998812,-2680117.6672326773,300.2460127583821,152
77500,155.000000000012,-2678986.9117764235,300.1288784303848,151
80000,160.00000000003587,-2678919.181138128,299.3727614459776,152
82500,165.00000000005974,-2679223.523867555,299.64461838392344,151
85000,170.00000000008362,-2680034.965124132,299.3227335710762,151
87500,175.0000000001075,-2679758.36080708,300.1610660190916,151
90000,180.00000000013137,-2679320.052230347,300.103236237979,151
92500,185.00000000015524,-2680278.568328852,299.0921824189376,151
95000,190.0000000001791,-2679525.4783563577,300.18111916080306,151
97500,195.000000000203,-2678570.3912057914,301.0954330592119,150
100000,200.00000000022686,-2678134.291218847,300.4547837302467,150
102500,205.00000000025074,-2679804.786453819,300.6561055140299,150
105000,210.0000000002746,-2676609.1093421,300.5124993615135,150
107500,215.00000000029848,-2678884.4948626626,299.9843921511777,150
110000,220.00000000032236,-2679270.135755677,300.8366475916039,151
112500,225.00000000034623,-2680535.7325658686,299.9456778800459,151
115000,230.0000000003701,-2677497.726366995,300.00860041218726,150
117500,235.00000000039398,-2680508.7077229135,299.90480571612204,151
120000,240.00000000041786,-2677719.2966503464,300.3879807406845,151
122500,245.00000000044173,-2680942.587579308,300.5730286903719,151
125000,250.0000000004656,-2677980.252097456,299.7267472367978,151
127500,255.00000000048948,-2679304.7098939456,299.93248262229935,151
130000,260.00000000051335,-2680510.5048315134,299.3515826266129,151
132500,265.0000000005372,-2681447.372833129,300.70819967964843,151
135000,270.0000000005611,-2678765.0813977346,299.63513839215113,151
137500,275.000000000585,-2679024.826912258,300.0391193334209,151
140000,280.00000000060885,-2680684.7661838643,301.64678014348965,151
142500,285.0000000006327,-2680923.4998153355,300.95160244970805,151
145000,290.0000000006566,-2678387.0414808393,300.6358595472764,151
147500,295.0000000006805,-2680831.7847906835,300.83134117801757,151
150000,300.00000000070435,-2678935.840145681,301.12762231224735,151
152500,305.0000000007282,-2678099.76530372,300.643906250296,151
155000,310.0000000007521,-2678049.5979804825,301.8543390120274,151
157500,315.00000000077597,-2680148.902554985,301.2996716968571,151
160000,320.00000000079984,-2679389.013092568,301.6852568322729,151
162500,325.0000000008237,-2677209.1049856916,300.548567638553,151
165000,330.0000000008476,-2678564.6611217596,299.91478108836475,151
167500,335.00000000087147,-2679820.2603373677,300.4613520627081,151
170000,340.00000000089534,-2679982.8704951648,300.17976521411464,151
172500,345.0000000009192,-2678226.249452332,299.5760507298394,151
175000,350.0000000009431,-2678406.6705376077,300.02457635320195,151
177500,355.00000000096696,-2682619.897129668,300.634620651138,151
180000,360.00000000099084,-2679791.0088699944,301.0933356625114,151
182500,365.0000000010147,-2677648.4971785545,299.84649848503096,151
185000,370.0000000010386,-2679299.2186346073,301.52488007311655,151
187500,375.00000000106246,-2680695.309385238,300.38525454046703,151
190000,380.00000000108633,-2677766.5906761903,298.9292678968551,151
192500,385.0000000011102,-2675727.2276588734,299.66952326878385,151
195000,390.0000000011341,-2675816.6607467458,299.43756776966603,151
197500,395.00000000115796,-2678873.279465491,301.421000537771,151
200000,400.00000000118183,-2676201.9193360917,298.75160035176896,151
202500,405.0000000012057,-2675673.2050977517,300.9512606700441,151
205000,410.0000000012296,-2680448.1681832466,302.4920526569204,151
207500,415.00000000125345,-2678937.1362388954,300.2327902200677,151
210000,420.00000000127733,-2678418.6163398996,300.7383063379165,151
212500,425.0000000013012,-2679063.130263103,301.4315845666579,151
215000,430.0000000013251,-2680227.1833713,300.8526378690526,151
217500,435.00000000134895,-2679904.2376864534,300.5954322746429,151
220000,440.0000000013728,-2679256.9062866885,301.1847415133299,151
222500,445.0000000013967,-2679964.7053835373,300.38579768431396,151
225000,450.0000000014206,-2680486.530468153,301.47692775624387,151
227500,455.00000000144445,-2679919.2345781606,300.0556586085432,151
230000,460.0000000014683,-2682570.27124691,298.14095861047423,151
232500,465.0000000014922,-2680433.8896872643,299.7928333040026,151
235000,470.00000000151607,-2679052.74012422,300.39015885051515,151
237500,475.00000000153995,-2680307.9782605954,300.51558647529527,151
240000,480.0000000015638,-2680379.760961462,299.9747182800722,151
242500,485.0000000015877,-2681313.2892947346,300.79048076857543,151
245000,490.00000000161157,-2680752.331029538,299.2047575086047,151
247500,495.00000000163544,-2682810.1344926134,299.6539883983558,151
250000,500.0000000016593,-2678556.538278943,300.6013549702488,151
252500,505.0000000016832,-2677437.7906136997,300.1899037579517,151
255000,510.00000000170706,-2678767.5396884717,299.9739760884486,151
