#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
52500,104.99999999993669,-3387871.1789287627,300.1246574785911,0
55000,109.99999999992504,-3390028.089529315,299.4747558124791,131
57500,114.99999999991338,-3390119.392482687,299.30967386274773,129
60000,119.99999999990173,-3386498.8455838207,299.6336922232851,129
62500,124.99999999989008,-3388713.6167174466,300.4850135121861,128
65000,129.99999999989262,-3390916.0638274625,300.93293450587464,129
67500,134.9999999999165,-3388291.009291552,300.01516164702133,128
70000,139.99999999994037,-3392538.279284822,300.4407132734316,128
72500,144.99999999996425,-3389571.0525148697,299.9306453756696,129
75000,149.99999999998812,-3387269.048159985,300.29971638458983,129
77500,155.000000000012,-3392910.3036089875,300.762755709406,129
80000,160.00000000003587,-3389931.3612115104,300.4607602613773,129
82500,165.00000000005974,-3390999.19636786,299.8880117271291,129
85000,170.00000000008362,-3389960.638041405,299.73526552434186,129
87500,175.0000000001075,-3387478.1161945015,301.4530125715617,129
90000,180.00000000013137,-3393138.58063489,298.80791829685455,129
92500,185.00000000015524,-3388828.2211010195,300.1463501916657,129
95000,190.0000000001791,-3389873.7422657833,299.6405190700573,129
97500,195.000000000203,-3389895.830713989,300.4975223503171,129
100000,200.00000000022686,-3392031.402818799,301.0643451681548,129
102500,205.00000000025074,-3392765.616222713,298.8218495325023,129
105000,210.0000000002746,-3389612.2510357127,300.2673767306337,129
107500,215.00000000029848,-3388468.5792305805,300.369109082493,129
110000,220.00000000032236,-3390926.2591684666,299.6219914080039,128
112500,225.00000000034623,-3390685.33798749,300.3455921781881,128
115000,230.0000000003701,-3389694.4997659437,299.97352292594286,128
117500,235.00000000039398,-3393983.495504968,300.5717956954344,128
120000,240.00000000041786,-3388973.0380634293,300.08416612674915,128
122500,245.00000000044173,-3390061.543454731,300.14279404159265,128
125000,250.0000000004656,-3390599.4173729885,300.5069908812184,128
127500,255.00000000048948,-3390252.8004219104,300.35218289602494,128
130000,260.00000000051335,-3391455.898617655,301.60643588168807,128
132500,265.0000000005372,-3390171.9612999,299.9764402891136,128
135000,270.0000000005611,-3386792.0206146464,299.5000607489172,128
137500,275.000000000585,-3392162.4000923224,299.9322379091764,128
140000,280.00000000060885,-3394986.725873599,300.7182767276464,128
142500,285.0000000006327,-3389869.0901540536,300.121834390196,128
145000,290.0000000006566,-3388407.008706011,300.8650585900228,128
147500,295.0000000006805,-3389464.159012081,300.0299377163769,128
150000,300.00000000070435,-3391215.3861976676,299.78688401622327,128
152500,305.0000000007282,-3390440.4501193445,300.7245651993055,128
155000,310.0000000007521,-3392116.4710459895,300.53221215184254,128
157500,315.00000000077597,-3391004.8511410486,300.10594835016184,128
160000,320.00000000079984,-3385375.5550979525,299.5615550775444,128
162500,325.0000000008237,-3389033.2758329883,300.19563525884547,128
165000,330.0000000008476,-3390036.57669504,299.6297255103537,128
167500,335.00000000087147,-3390584.558447445,299.92690658383896,128
170000,340.00000000089534,-3390691.9257686995,298.7304636519444,128
172500,345.0000000009192,-3391127.3229291737,301.89208428357784,128
175000,350.0000000009431,-3393238.797195593,299.5933725209552,128
177500,355.00000000096696,-3389379.509133838,300.69330690180317,128
180000,360.00000000099084,-3387877.562329037,300.4499648825989,128
182500,365.0000000010147,-3391238.57122021,299.40745329003386,128
185000,370.0000000010386,-3389818.8508144952,300.03472284184164,128
187500,375.00000000106246,-3387733.5497471206,300.78439907492753,128
190000,380.00000000108633,-3390357.0797014944,300.3956908959095,128
192500,385.0000000011102,-3390323.6508296467,299.4700743063504,128
195000,390.0000000011341,-3388687.602005845,300.23800926633635,128
197500,395.00000000115796,-3390139.0098176915,299.9496751290154,128
200000,400.00000000118183,-3389024.5268832427,300.6124649981094,128
202500,405.0000000012057,-3394788.765811067,300.62583557670115,128
205000,410.0000000012296,-3391552.358820785,301.07832861914596,128
207500,415.00000000125345,-3389428.8669182397,300.2555991472748,128
210000,420.00000000127733,-3392316.4215976857,300.1994849389589,128
212500,425.0000000013012,-3391079.8488172833,299.9266663146318,128
215000,430.0000000013251,-3392150.3281422406,299.407360968076,128
217500,435.00000000134895,-3392898.5242658276,301.6503689350879,128
220000,440.0000000013728,-3391197.2840063646,300.985362722572,128
222500,445.0000000013967,-3393556.1627350654,300.37328052435544,128
225000,450.0000000014206,-3389931.2238379475,300.3312576008571,128
227500,455.00000000144445,-3388945.0557691865,299.97234448128853,128
230000,460.0000000014683,-3389991.7143672183,300.19605079226716,128
232500,465.0000000014922,-3389984.201307038,300.7912098306749,128
235000,470.00000000151607,-3392955.3114480376,300.06477544795547,128
237500,475.00000000153995,-3390184.0137482975,300.8664808937164,127
240000,480.0000000015638,-3392623.3109740578,299.6412210505194,127
242500,485.0000000015877,-3393110.0383995585,300.0757774300363,127
245000,490.00000000161157,-3386193.497291168,299.7376122986189,127
247500,495.00000000163544,-3387205.395223232,299.63927282201456,127
250000,500.0000000016593,-3391776.105247099,299.0242969757972,127
252500,505.0000000016832,-3391242.313852554,300.6893988471435,127
255000,510.00000000170706,-3389703.1521528345,299.89176978835883,127
257500,515.0000000016456,-3393183.5192817356,299.88934646628724,127
260000,520.0000000015274,-3390909.558948919,300.3605622878865,127
262500,525.0000000014091,-3390775.1779963877,299.7331329277873,128
265000,530.0000000012909,-3392923.396364022,300.5568046366058,127
267500,535.0000000011727,-3388194.4333710447,300.9426969159832,127
270000,540.0000000010544,-3390763.4740200583,301.00757316846307,127
272500,545.0000000009362,-3392662.8376234584,300.5218544463352,127
275000,550.000000000818,-3388407.1697399,300.70474170056156,127
277500,555.0000000006997,-3393081.0227952655,300.6319042905053,127
280000,560.0000000005815,-3387539.428389054,300.46810173616996,127
282500,565.0000000004633,-3392925.9369157795,299.70242360097774,127
285000,570.000000000345,-3388505.089347411,298.7492611766522,128
287500,575.0000000002268,-3393337.858459845,301.0499210793973,127
290000,580.0000000001086,-3388460.871298002,300.09455163199266,127
292500,584.9999999999903,-3390541.9770810753,302.07090419034006,127
295000,589.9999999998721,-3391184.0052115116,300.1866280722496,127
297500,594.9999999997539,-3391390.7544887643,300.0420921559623,127
300000,599.9999999996356,-3391882.6226328034,300.6595666741812,127
302500,604.9999999995174,-3388878.616364442,300.0595621971434,127
305000,609.9999999993992,-3393566.331108773,300.90011765476385,127
307500,614.9999999992809,-3390023.533627292,300.22480883123603,127
310000,619.9999999991627,-3390203.397170786,299.3719536341772,127
312500,624.9999999990445,-3392269.830670785,300.4621748151628,127
315000,629.9999999989262,-3390391.7381445635,300.5044883633948,127
317500,634.999999998808,-3389808.495210832,299.89798368995133,127
320000,639.9999999986898,-3390652.644980142,300.95861595928045,127
322500,644.9999999985715,-3390235.46586694,301.244805050132,127
325000,649.9999999984533,-3388700.6454661097,300.23675877633656,127
327500,654.999999998335,-3389810.4441852886,300.10917015309,127
330000,659.9999999982168,-3392113.0461132936,300.4891686209795,127
332500,664.9999999980986,-3394633.457266569,299.2063567482368,127
335000,669.9999999979804,-3389973.9285791125,300.29266310547433,128
337500,674.9999999978621,-3392312.3190853167,300.2732841750202,127
340000,679.9999999977439,-3391046.608622605,300.5236296913851,127
342500,684.9999999976257,-3392360.1809917483,301.83368353735125,127
345000,689.9999999975074,-3391892.265633419,300.93452325596,127
347500,694.9999999973892,-3389560.2915486265,300.08160721787453,128
350000,699.999999997271,-3387573.2616071794,300.1322292216922,127
352500,704.9999999971527,-3390945.5930153057,300.2870173448938,127
355000,709.9999999970345,-3391642.690348532,299.4706356739751,127
357500,714.9999999969162,-3393373.720407622,300.02140117877224,128
360000,719.999999996798,-3391670.071426293,300.3393007106346,127
362500,724.9999999966798,-3391486.7569488585,300.5313907916175,127
365000,729.9999999965615,-3391433.9355087876,299.41039669145897,127
367500,734.9999999964433,-3392188.2979859225,300.87873304426773,127
370000,739.9999999963251,-3391274.626140233,299.74183969531947,127
372500,744.9999999962068,-3391763.598179795,299.433984409301,127
375000,749.9999999960886,-3391647.103775533,299.82420106919017,127
377500,754.9999999959704,-3390983.127690157,300.66398501114946,127
380000,759.9999999958521,-3393095.8421684112,300.2686750796256,127
382500,764.9999999957339,-3390693.5122924224,299.81697061751754,127
385000,769.9999999956157,-3391259.2232397012,299.8317929987763,127
387500,774.9999999954974,-3391256.6984134354,300.8017712351256,127
390000,779.9999999953792,-3390607.606361471,301.1214806236161,127
392500,784.999999995261,-3391552.9167347904,300.69576369087224,127
395000,789.9999999951427,-3391522.431243712,300.1355260267246,127
397500,794.9999999950245,-3392095.741330279,300.0457694097953,128
400000,799.9999999949063,-3392694.941907121,299.8809284589697,128
