#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
180000,360.00000000099084,-3096152.2476346735,300.25617854002877,136
182500,365.0000000010147,-3093857.4971895125,300.68597117459547,136
185000,370.0000000010386,-3092322.1329567675,300.64408990768334,136
187500,375.00000000106246,-3093081.1941984743,300.5442292546538,136
190000,380.00000000108633,-3095962.5599617884,299.905745984984,136
192500,385.0000000011102,-3095913.6261018924,298.74855578090614,136
195000,390.0000000011341,-3095764.852579009,300.99854078316235,136
197500,395.00000000115796,-3096183.853377763,299.32315090690724,136
200000,400.00000000118183,-3094881.0016277153,300.25476398270683,136
202500,405.0000000012057,-3095595.0571277626,300.35074125902776,136
205000,410.0000000012296,-3094004.0562883504,300.3730370472165,136
207500,415.00000000125345,-3094069.0539821833,300.71418068526714,136
210000,420.00000000127733,-3092897.3915846664,300.4778784087289,136
212500,425.0000000013012,-3093032.5403620247,301.1888525995432,136
215000,430.0000000013251,-3091395.797515491,299.63787784351234,136
217500,435.00000000134895,-3095488.8331284486,300.34480130912016,136
220000,440.0000000013728,-3092745.1080035456,300.1239065479815,136
222500,445.0000000013967,-3092701.099092761,300.21459169756264,136
225000,450.0000000014206,-3094646.2425465845,301.65726684692146,136
227500,455.00000000144445,-3095113.7943103444,301.0979063857934,136
230000,460.0000000014683,-3093324.098286001,300.82200348802667,136
232500,465.0000000014922,-3097818.2957205735,300.0496002297688,136
235000,470.00000000151607,-3094688.64103839,299.8646012929887,136
237500,475.00000000153995,-3094095.018694047,300.00691396088394,136
240000,480.0000000015638,-3094574.3776157275,300.73534056508635,136
242500,485.0000000015877,-3094622.099882558,299.8481018782246,136
245000,490.00000000161157,-3094572.377424987,299.0669618299842,136
247500,495.00000000163544,-3091598.5285560824,298.77902123683066,136
250000,500.0000000016593,-3093528.6205102615,300.4742839366832,136
252500,505.0000000016832,-3095080.358120516,299.8542008598789,136
255000,510.00000000170706,-3094381.668597903,301.22021791838733,136
257500,515.0000000016456,-3095145.9105169848,300.6015862113265,136
260000,520.0000000015274,-3097372.566622127,300.07856850124887,136
262500,525.0000000014091,-3098359.5254240464,300.72292136053363,136
265000,530.0000000012909,-3097036.539889969,299.09963962677807,136
267500,535.0000000011727,-3095017.5006458145,302.0327780231883,136
270000,540.0000000010544,-3093281.317328939,300.30276981361766,136
272500,545.0000000009362,-3093260.017797958,301.4675623215108,136
275000,550.000000000818,-3097264.63042124,300.8545848887391,136
277500,555.0000000006997,-3094201.9970531054,300.56504442588033,136
280000,560.0000000005815,-3098409.4847636055,300.9819802521077,136
282500,565.0000000004633,-3096602.530060729,300.1503176129413,136
285000,570.000000000345,-3095009.448332252,299.57412443801474,136
287500,575.0000000002268,-3094865.9484602604,301.0900333594493,136
290000,580.0000000001086,-3094981.662442701,299.24291730735223,136
292500,584.9999999999903,-3094800.687444389,300.74144765085106,136
295000,589.9999999998721,-3091399.0273671467,300.7019540643602,136
297500,594.9999999997539,-3096451.336189447,300.43288675099865,136
300000,599.9999999996356,-3092868.9608704,299.3057883640198,136
302500,604.9999999995174,-3094426.4348846693,300.23044382656616,136
305000,609.9999999993992,-3094546.315895809,300.5134719466398,136
307500,614.9999999992809,-3092674.907201266,301.45589914014414,136
310000,619.9999999991627,-3096571.219583664,299.4911084471312,136
312500,624.9999999990445,-3096971.7207935303,299.90379621609213,136
315000,629.9999999989262,-3094042.566906428,300.6423363655023,136
317500,634.999999998808,-3095740.4484331217,300.2097416389462,136
320000,639.9999999986898,-3093290.8128700163,301.28959389237616,136
322500,644.9999999985715,-3094820.038786944,301.4171103857922,136
325000,649.9999999984533,-3098802.535289213,300.4847516615067,136
