#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
52500,104.99999999993669,-2679692.0652046725,299.9301406046105,0
55000,109.99999999992504,-2678955.1935764924,300.46135713461206,143
57500,114.99999999991338,-2679230.0522856414,299.038413549886,146
60000,119.99999999990173,-2679956.464859858,299.7860738248753,147
62500,124.99999999989008,-2678528.1454327535,299.9287483904601,148
65000,129.99999999989262,-2678981.2733929865,300.3679836260725,147
67500,134.9999999999165,-2679447.6689355914,299.78990068008187,148
70000,139.99999999994037,-2675554.3411880564,298.58536164814524,148
72500,144.99999999996425,-2679821.877444433,300.6201655900149,148
75000,149.99999999998812,-2677309.28061983,299.87454968958644,149
77500,155.000000000012,-2677187.2773803715,299.6053821368025,149
80000,160.00000000003587,-2678769.6000745744,301.87412487187515,149
82500,165.00000000005974,-2677440.2558913305,299.47397425937856,148
85000,170.00000000008362,-2678629.503679661,301.0110379849612,148
87500,175.0000000001075,-2677803.0877402127,300.31551933091436,148
90000,180.00000000013137,-2678991.375690434,300.51689574921204,148
92500,185.00000000015524,-2679897.2570370026,300.1453073884822,148
95000,190.0000000001791,-2680807.8678127155,300.18910738070076,149
97500,195.000000000203,-2680292.6321335603,299.8624116764881,149
100000,200.00000000022686,-2677611.9779614676,300.2555940445938,149
102500,205.00000000025074,-2678439.282088073,300.9799294272179,149
105000,210.0000000002746,-2679208.129454782,301.02306364406394,149
107500,215.00000000029848,-2678256.8092863336,299.89371448484576,149
110000,220.00000000032236,-2678095.622518655,300.1247673459642,149
112500,225.00000000034623,-2679366.240131462,299.5743594225332,149
115000,230.0000000003701,-2677455.4708469696,301.05074604306617,150
117500,235.00000000039398,-2678348.636980744,300.4984288937425,149
120000,240.00000000041786,-2679517.548825467,300.8406765008796,150
122500,245.00000000044173,-2677763.5094414465,299.03789881211105,149
125000,250.0000000004656,-2676856.6065786593,301.4326496862534,150
127500,255.00000000048948,-2680175.721208267,300.5863941106194,149
130000,260.00000000051335,-2678753.1694633365,300.12135791650536,149
132500,265.0000000005372,-2677968.018019194,300.741566035724,149
135000,270.0000000005611,-2680537.612458734,301.42046669198857,149
137500,275.000000000585,-2678907.732675327,300.44732097890073,149
140000,280.00000000060885,-2675449.4197601024,298.9992792498183,149
142500,285.0000000006327,-2675829.3755898215,300.9809174307389,149
145000,290.0000000006566,-2677961.9149700217,298.8994227295178,149
147500,295.0000000006805,-2675444.4189792536,300.4445215476467,149
150000,300.00000000070435,-2679620.6774433088,299.8929162019361,149
152500,305.0000000007282,-2677414.5434068926,300.1756374623043,149
155000,310.0000000007521,-2678929.3394197673,302.2583902682808,149
157500,315.00000000077597,-2678442.605751088,301.33543011619184,149
160000,320.00000000079984,-2679501.4474610873,300.54479169887264,149
162500,325.0000000008237,-2679002.334734546,300.1490053144808,149
165000,330.0000000008476,-2678836.050734572,300.19553945153444,149
167500,335.00000000087147,-2677944.7080901004,300.4562857061623,149
170000,340.00000000089534,-2676487.1316739954,300.0800265239944,149
172500,345.0000000009192,-2678614.941329196,302.4786091262565,149
175000,350.0000000009431,-2675489.9206677116,301.4995944942724,149
177500,355.00000000096696,-2679018.16957785,299.27494528946096,149
180000,360.00000000099084,-2677416.902329797,300.0503794796152,150
182500,365.0000000010147,-2680124.8020554334,301.01845528258724,150
185000,370.0000000010386,-2677403.082961796,300.1245269988765,150
187500,375.00000000106246,-2678157.228495434,299.9102824459269,150
190000,380.00000000108633,-2679221.930862395,299.2421020493478,150
192500,385.0000000011102,-2677975.1894590706,300.0576673456929,150
195000,390.0000000011341,-2683082.895063523,300.9096738763379,150
197500,395.00000000115796,-2679915.517583441,299.39397365682066,150
200000,400.00000000118183,-2679822.827142639,301.0515836498325,149
202500,405.0000000012057,-2680307.50415862,301.27371338965315,150
205000,410.0000000012296,-2680497.9871896002,300.38273595367787,150
207500,415.00000000125345,-2677988.068256393,299.6068206622535,150
210000,420.00000000127733,-2678723.0663272217,300.88218783590054,150
212500,425.0000000013012,-2679684.8311681617,300.55142701094127,150
215000,430.0000000013251,-2683460.862442473,299.91885142710424,150
217500,435.00000000134895,-2680189.0265626255,300.5773977533684,150
220000,440.0000000013728,-2681013.5896098334,300.638191476589,150
222500,445.0000000013967,-2680856.595522139,301.261958571146,150
225000,450.0000000014206,-2680264.0038275756,299.9406775366062,150
227500,455.00000000144445,-2679221.998260608,300.11464286995937,150
230000,460.0000000014683,-2678826.516482748,299.57024677599793,150
232500,465.0000000014922,-2678285.649934523,300.5353395507358,150
235000,470.00000000151607,-2678094.299814172,300.1956234474885,150
237500,475.00000000153995,-2679727.712684687,299.7303401175885,150
240000,480.0000000015638,-2679668.434547942,301.0126816237637,150
242500,485.0000000015877,-2682259.128068624,299.9091012437317,150
245000,490.00000000161157,-2678815.573264355,299.81782694769197,150
247500,495.00000000163544,-2678117.4207868148,300.6058538455112,150
250000,500.0000000016593,-2678789.6910428647,300.58570722196555,150
252500,505.0000000016832,-2680056.298603205,301.5158953614486,150
255000,510.00000000170706,-2677278.2361712363,299.1359002851831,150
257500,515.0000000016456,-2676493.6221473217,301.3591043168385,150
260000,520.0000000015274,-2680313.9645811077,299.3190538028056,150
262500,525.0000000014091,-2678444.861083545,301.03505364198935,150
265000,530.0000000012909,-2678849.5169893187,300.96316524653633,150
267500,535.0000000011727,-2682320.8812564444,299.6190738907626,150
270000,540.0000000010544,-2680069.3008688465,299.6200408571562,150
272500,545.0000000009362,-2680061.574307395,300.49428973883687,150
275000,550.000000000818,-2677900.5417271014,301.03574855025494,150
277500,555.0000000006997,-2679915.224244846,300.44106463611837,150
280000,560.0000000005815,-2678013.837745035,300.4326751846864,150
282500,565.0000000004633,-2680145.6782713886,299.4168436058788,150
285000,570.000000000345,-2679734.260431327,299.8735357702989,150
287500,575.0000000002268,-2681653.8038797583,299.57259091266417,150
290000,580.0000000001086,-2680106.759760553,299.51532004303226,150
292500,584.9999999999903,-2679121.583897611,299.01395514389503,150
295000,589.9999999998721,-2680524.7905285396,300.3093616902141,150
297500,594.9999999997539,-2678669.9900252335,300.1441687050037,150
300000,599.9999999996356,-2678409.4450921174,301.36582105812283,150
302500,604.9999999995174,-2677008.17519759,300.44708022041914,150
305000,609.9999999993992,-2677602.5038340874,298.68349799956235,150
307500,614.9999999992809,-2680421.8762612455,298.85400804071844,150
310000,619.9999999991627,-2679809.023946019,299.44201979291364,150
312500,624.9999999990445,-2680402.675720256,300.24551749981936,150
315000,629.9999999989262,-2678621.2032472417,301.266439633689,150
317500,634.999999998808,-2681176.683257103,300.60070719175536,150
320000,639.9999999986898,-2681456.6065068766,300.54010264204294,150
322500,644.9999999985715,-2679115.093867857,299.8458196423509,150
325000,649.9999999984533,-2683239.951991236,300.86498376387357,150
327500,654.999999998335,-2679805.2931447383,299.92999241495426,150
330000,659.9999999982168,-2677943.2457064893,299.51130595325594,150
332500,664.9999999980986,-2677499.039927786,301.94707867809336,150
335000,669.9999999979804,-2679406.553012345,301.3052309189803,150
337500,674.9999999978621,-2678572.6215384025,300.4704904737733,150
340000,679.9999999977439,-2681187.0777529106,298.5112006785894,150
342500,684.9999999976257,-2682001.005339926,301.0831010093823,150
345000,689.9999999975074,-2678108.326095447,298.490402254305,150
347500,694.9999999973892,-2678498.3573147766,299.8492819672872,150
350000,699.999999997271,-2680059.8360519763,299.41424560312436,150
352500,704.9999999971527,-2680801.942565579,300.5221071031042,150
355000,709.9999999970345,-2681377.2136880103,299.27179331214523,150
357500,714.9999999969162,-2679904.9612033237,299.2888107565319,150
360000,719.999999996798,-2679046.4545538016,299.9267022737172,150
362500,724.9999999966798,-2681858.048883103,300.47185373545966,150
365000,729.9999999965615,-2678204.43668017,300.81936275041164,150
367500,734.9999999964433,-2681485.3560523037,300.3847492437731,150
370000,739.9999999963251,-2678363.543200195,300.2615233141542,150
372500,744.9999999962068,-2680433.5236610323,300.9275510991394,150
375000,749.9999999960886,-2680650.611138681,299.68781071465645,150
377500,754.9999999959704,-2684381.044491442,300.63804607930894,150
380000,759.9999999958521,-2681697.8209211603,300.8948547355106,150
382500,764.9999999957339,-2680796.3498102576,299.8471223223792,150
385000,769.9999999956157,-2678858.0043114144,300.42643953630466,150
387500,774.9999999954974,-2680009.8813897595,301.41583164764774,150
390000,779.9999999953792,-2680270.6381590124,300.73930672090194,150
392500,784.999999995261,-2679931.611263493,299.27210412115994,150
395000,789.9999999951427,-2679654.347805688,299.778709686364,150
397500,794.9999999950245,-2680762.6921737194,300.20994988715296,150
400000,799.9999999949063,-2679082.2747847736,299.82324818830926,150
402500,804.999999994788,-2679700.112988705,300.2032686264491,150
405000,809.9999999946698,-2681396.2956091017,300.6799497665812,150
407500,814.9999999945516,-2680668.649254311,300.6507031261641,150
410000,819.9999999944333,-2680655.1027688067,300.24012629265883,150
412500,824.9999999943151,-2679363.0620243996,299.64505353652794,150
415000,829.9999999941969,-2680752.6586510576,300.1621898731712,150
417500,834.9999999940786,-2679360.7988782004,301.1341517715657,150
420000,839.9999999939604,-2678689.1561050992,300.37881217982033,150
422500,844.9999999938422,-2677029.905406056,300.6447813126288,150
425000,849.9999999937239,-2680198.061835861,301.235167039225,150
427500,854.9999999936057,-2680983.1795669626,299.28673224130506,150
430000,859.9999999934874,-2683002.179291105,300.02898548748493,150
432500,864.9999999933692,-2679057.795949377,301.16784512678106,150
435000,869.999999993251,-2679105.2303765398,300.4834897811049,150
437500,874.9999999931327,-2681568.580230085,300.31510128582374,150
440000,879.9999999930145,-2680909.4489123262,300.9381937063657,150
442500,884.9999999928963,-2679008.416439593,299.8765967475314,150
445000,889.999999992778,-2680217.8434501737,299.2676584245317,150
447500,894.9999999926598,-2678622.0921199247,301.223701695876,150
450000,899.9999999925416,-2680184.2639212143,299.47211487834153,150
452500,904.9999999924233,-2679076.7366964687,300.57457357501414,150
455000,909.9999999923051,-2684037.990019858,299.9051667597697,150
457500,914.9999999921869,-2683225.954195803,298.4395026758892,150
460000,919.9999999920686,-2684940.460705513,300.56276569125197,150
462500,924.9999999919504,-2679880.2216082774,300.1145137089662,150
465000,929.9999999918322,-2683959.5604291167,299.538505280177,150
467500,934.9999999917139,-2680359.8472164273,299.4793885067414,150
470000,939.9999999915957,-2678125.640554361,300.69498848899417,150
472500,944.9999999914775,-2681075.1415755376,300.1226152666986,150
475000,949.9999999913592,-2680411.148157578,299.74020234566837,150
477500,954.999999991241,-2679251.977788683,300.8923585124144,150
480000,959.9999999911228,-2678900.432694802,300.2171168970342,150
482500,964.9999999910045,-2675795.811729314,299.7565979604403,150
485000,969.9999999908863,-2680458.8614321724,300.1338365560443,150
487500,974.9999999907681,-2680476.2743409257,300.3953306987208,150
490000,979.9999999906498,-2680094.1620158125,300.7245525488055,150
492500,984.9999999905316,-2679016.6951131225,300.18809710567973,150
495000,989.9999999904134,-2679857.659551192,301.3898910037562,150
497500,994.9999999902951,-2679909.2405443788,301.5435861962468,150
500000,999.9999999901769,-2678515.7960851137,299.15302699047146,150
502500,1004.9999999900587,-2680650.0605888516,299.64116496494876,150
505000,1009.9999999899404,-2681894.1467929184,299.7855426850549,150
507500,1014.9999999898222,-2680259.678720014,300.1743314802409,150
510000,1019.999999989704,-2681788.1551858857,300.083936659881,150
512500,1024.9999999895858,-2680591.269069653,300.9310169546984,150
515000,1029.9999999894676,-2679402.925855309,299.2060561997211,150
517500,1034.9999999893494,-2680302.226952985,300.17138100219626,150
520000,1039.9999999892311,-2680409.0366982706,299.978691982485,150
522500,1044.999999989113,-2680889.025718294,299.99058623385014,150
525000,1049.9999999889947,-2682552.553000329,299.7757830813821,150
527500,1054.9999999888764,-2681933.354085617,300.5897892656701,150
530000,1059.9999999887582,-2679635.46040814,299.3612217751597,150
532500,1064.99999998864,-2680469.0597752463,300.257351331439,150
535000,1069.9999999885217,-2681925.543173557,301.30197485618754,150
537500,1074.9999999884035,-2681406.9999567755,300.31863637758255,150
540000,1079.9999999882853,-2681388.9827184677,298.9729836706216,150
542500,1084.999999988167,-2680874.9489922505,300.2792874497744,150
545000,1089.9999999880488,-2679312.6273206547,299.78365146856146,150
547500,1094.9999999879306,-2681104.289407328,300.92769453362564,150
550000,1099.9999999878123,-2677573.941237284,299.204347602116,150
552500,1104.999999987694,-2680890.330930596,299.82782210776924,150
555000,1109.9999999875758,-2677903.761812005,300.08951148558594,150
557500,1114.9999999874576,-2679898.117987519,301.04097686782137,150
560000,1119.9999999873394,-2681633.410012204,299.9256210198285,150
562500,1124.9999999872211,-2679988.560012223,300.0041616178799,150
565000,1129.999999987103,-2682884.9979985934,300.46051141945173,150
567500,1134.9999999869847,-2680066.6739513483,299.81163813309445,150
570000,1139.9999999868664,-2680024.48533722,299.1513341978098,150
572500,1144.9999999867482,-2679325.5867254417,301.4222200878709,150
575000,1149.99999998663,-2681161.995660953,302.14135542687023,150
577500,1154.9999999865117,-2679960.939954955,301.7745527590788,150
580000,1159.9999999863935,-2678059.0351355,300.25066288937677,150
582500,1164.9999999862753,-2679489.903081909,301.3945200056074,150
585000,1169.999999986157,-2681719.9642740693,300.5284951321941,150
587500,1174.9999999860388,-2680010.0946707614,300.9153424823333,150
590000,1179.9999999859206,-2679478.1238288414,300.7067132106278,150
592500,1184.9999999858023,-2682654.99555213,299.26933816583204,150
595000,1189.999999985684,-2681049.8185079135,299.69643913765884,150
597500,1194.9999999855659,-2677833.636440672,301.3228664478221,150
600000,1199.9999999854476,-2678585.052954247,300.473468368935,150
602500,1204.9999999853294,-2683362.5714666154,299.93881413286704,150
605000,1209.9999999852112,-2680795.757087741,300.3585230336598,150
607500,1214.999999985093,-2678860.607604891,300.23294813680104,150
610000,1219.9999999849747,-2678733.54482997,299.6946131775514,150
612500,1224.9999999848565,-2680151.2359097432,300.400771660161,150
615000,1229.9999999847382,-2681606.9803139865,299.65416892444387,150
617500,1234.99999998462,-2681843.5645763557,301.1896076160125,150
620000,1239.9999999845018,-2681559.421731202,299.9490270807489,150
622500,1244.9999999843835,-2679566.316661764,301.74368145184576,150
625000,1249.9999999842653,-2677540.779248489,300.89812598702525,150
627500,1254.999999984147,-2681989.9344792217,300.26737451270145,150
630000,1259.9999999840288,-2677870.269877253,300.29611323367436,150
632500,1264.9999999839106,-2679743.018493032,299.40759975278195,150
635000,1269.9999999837923,-2681732.260330057,301.2867158613056,150
637500,1274.9999999836741,-2682522.713988526,300.62954374984446,150
640000,1279.9999999835559,-2677265.3510196432,299.92829145650165,150
642500,1284.9999999834376,-2681865.3871920146,301.3225342073509,150
645000,1289.9999999833194,-2683225.3278255146,299.092555074235,150
647500,1294.9999999832012,-2681892.090662241,300.40041804335806,150
650000,1299.999999983083,-2682357.307983091,299.34505250003787,150
652500,1304.9999999829647,-2677610.9147475064,299.4937626921003,150
655000,1309.9999999828465,-2680926.0586838312,299.6320884456342,150
657500,1314.9999999827282,-2681191.487737503,301.6443148219877,150
660000,1319.99999998261,-2677976.566685213,301.1284655897292,150
662500,1324.9999999824918,-2680742.012984328,300.37776343636546,150
665000,1329.9999999823735,-2679608.734121816,300.6072614945615,150
667500,1334.9999999822553,-2678177.9330822993,301.9805786152491,150
670000,1339.999999982137,-2678426.1259025075,299.14535271521316,150
672500,1344.9999999820188,-2680628.398259217,301.53574578576433,150
675000,1349.9999999819006,-2679209.90387642,299.67633809461984,150
677500,1354.9999999817824,-2678998.7505388353,300.5364034079544,150
680000,1359.9999999816641,-2680926.4143475667,299.63379602397816,150
682500,1364.999999981546,-2682132.368376408,301.7448457443521,150
685000,1369.9999999814277,-2677974.8947046567,300.9416999113693,150
687500,1374.9999999813094,-2681404.865185268,300.0834704460444,150
690000,1379.9999999811912,-2682089.6791641936,300.732861242286,150
692500,1384.999999981073,-2678504.032824252,300.5919757882121,150
695000,1389.9999999809547,-2681256.396506753,300.4392297341584,150
697500,1394.9999999808365,-2681707.701015003,301.23539927228063,150
700000,1399.9999999807183,-2681257.77416889,300.1088188831687,150
702500,1404.9999999806,-2679266.781091461,300.8858404041402,150
705000,1409.9999999804818,-2679174.3866211344,300.7574467067838,150
707500,1414.9999999803636,-2681284.7483730894,299.6072621316789,150
710000,1419.9999999802453,-2680094.328369053,299.79099784323995,150
712500,1424.999999980127,-2681825.0000713486,300.5487973958878,150
715000,1429.9999999800089,-2678829.1061518174,301.8629208340884,150
717500,1434.9999999798906,-2681600.5242995378,300.2922656725099,150
720000,1439.9999999797724,-2679396.2766398787,300.36803390031804,150
722500,1444.9999999796541,-2678859.467935156,300.0644663401544,150
725000,1449.999999979536,-2681119.0171063077,300.1640266043204,150
727500,1454.9999999794177,-2681802.2483431455,301.15182424893356,150
730000,1459.9999999792994,-2681225.0350689664,300.3584791276151,150
732500,1464.9999999791812,-2679653.8372273818,300.44111878277795,150
735000,1469.999999979063,-2681294.4178312067,299.7178756934199,150
737500,1474.9999999789447,-2677676.8621175718,300.5574475693932,150
740000,1479.9999999788265,-2679330.7462635227,299.7939329936933,150
742500,1484.9999999787083,-2679809.427403856,301.2082708299509,150
745000,1489.99999997859,-2678927.223098526,300.7095825607363,150
747500,1494.9999999784718,-2677529.19406954,299.82619002249845,150
750000,1499.9999999783536,-2678695.9049568456,300.1700159709761,150
752500,1504.9999999782353,-2679651.9428696446,300.06751643116604,150
755000,1509.999999978117,-2677308.1522520427,300.09066128637994,150
757500,1514.9999999779989,-2679410.448002517,298.8970510065387,150
760000,1519.9999999778806,-2680342.2974926904,300.5207738434664,150
762500,1524.9999999777624,-2679921.9286040105,299.71227236814053,150
