#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
52500,104.99999999993669,-3389024.594846772,300.1733552903666,0
55000,109.99999999992504,-3388478.125621874,300.8264445667317,130
57500,114.99999999991338,-3388835.4293422084,300.8849304753749,129
60000,119.99999999990173,-3389162.486879166,301.1809204325839,129
62500,124.99999999989008,-3388960.8681667075,302.0652763076188,129
65000,129.99999999989262,-3392814.121845657,300.46649396976323,129
67500,134.9999999999165,-3393474.820142079,300.0058415016941,128
70000,139.99999999994037,-3389185.164958438,300.21732058214,127
72500,144.99999999996425,-3387663.5270826444,301.0777867367908,127
75000,149.99999999998812,-3388545.645573685,299.54439216282157,127
77500,155.000000000012,-3388949.945109986,301.51829405546385,127
80000,160.00000000003587,-3390818.5239547696,301.5425399704462,127
82500,165.00000000005974,-3389472.1436747387,299.8944630691348,127
85000,170.00000000008362,-3392545.0733059663,300.6193010112931,127
87500,175.0000000001075,-3391169.1656106394,301.16342292804325,127
90000,180.00000000013137,-3389490.0752240643,301.10746697718247,127
92500,185.00000000015524,-3391875.886871416,299.5955087280705,127
95000,190.0000000001791,-3390085.172105342,300.86283827623936,128
97500,195.000000000203,-3389490.7001123223,299.82699943278215,128
100000,200.00000000022686,-3392328.7321512084,299.64095718017467,128
102500,205.00000000025074,-3390375.236107357,300.34482784508754,128
105000,210.0000000002746,-3391069.119411912,300.65123638498216,128
107500,215.00000000029848,-3390258.409792617,300.43791964618674,128
110000,220.00000000032236,-3390868.677089665,301.0606953807493,128
112500,225.00000000034623,-3392379.8811914846,302.21895717213846,128
115000,230.0000000003701,-3390398.2378400173,300.28835535698147,128
117500,235.00000000039398,-3395493.453937404,299.94088939220006,128
120000,240.00000000041786,-3391349.908566432,299.7136166526333,128
122500,245.00000000044173,-3391202.3972266577,299.54486504119774,128
125000,250.0000000004656,-3391882.5913273245,300.29708069742384,128
127500,255.00000000048948,-3391486.8114351574,299.0971028614504,128
130000,260.00000000051335,-3389348.781706378,300.24264870341517,128
132500,265.0000000005372,-3391685.3622091003,299.137031452972,128
135000,270.0000000005611,-3391617.7004236504,299.2929660975024,128
137500,275.000000000585,-3391130.4560690485,299.6580214986206,128
140000,280.00000000060885,-3390253.7203890793,301.14629146288434,128
142500,285.0000000006327,-3391486.200369168,299.4085139722587,128
145000,290.0000000006566,-3391156.1073109973,300.65619849461353,128
147500,295.0000000006805,-3392652.809104031,300.7760825694596,128
150000,300.00000000070435,-3391382.189726053,300.77484883383613,128
152500,305.0000000007282,-3390601.3881236613,300.13028541668916,128
